Event ID,Event Date,Start Time,End Time,Event Name,Event Short Name,Event Description,Event Location,Admission,Alternate Event Location
3333,04/05/2017,10:00 AM,2:00 PM,2016-17 Winter Farmer's Market,Winter Farmer's Market,Come to the Empire State Plaza Farmer's Market.  A NYS grower/producer only market.  We put the Fresh in freshest  so come and treat yourself to great fruits  vegetables  meats  beverages  plants  bread and so much more.  High quality  low prices - makes this the perfect farmer to consumer place to shop!,Inside on the Concourse at the Empire State Plaza,Free, 
3444,03/31/2017,11:30 AM,1:00 PM,2017 MIOSM A. MacArthur Barr Concert Choir - Nanuet SD,Nanuet SD,Come see the school perform.  Local school playing instruments and choir- together - creating beautiful music.  All month long there will be schools from all over the State performing during lunch hours.,South end of the Concourse,FREE, 
3445,03/31/2017,1:00 PM,1:45 PM,2017 MIOSM Granville Jr/Sr HS Jazz Ensemble,Granville Jr/Sr,Come see the school perform.  Local school playing instruments and choir- together - creating beautiful music.  All month long there will be schools from all over the State performing during lunch hours.,South end of the Concourse,Free, 
3379,12/29/2016,4:00 PM,8:00 PM,Ice Rink Closed,Ice Rink Closed,Due to Weather conditions  the Empire State Plaza Ice Rink will be closed for the rest of today,Outside at the Empire State Plaza,Free Skates Adults $4.00 Child 12 and under 12 $3.00, 
3441,03/30/2017,11:30 AM,12:30 pm,2017 MIOSM Fonda-Fultonville CS Select Choir,Fonda-Fultonville CS,Come see the school perform.  Local school playing instruments and choir- together - creating beautiful music.  All month long there will be schools from all over the State performing during lunch hours.,South end of the Concourse,FREE, 
3442,03/30/2017,12:30 PM,1:15 PM,2017 MIOSM Fonda-Fultonville CS Jazz Band, Fonda-Fultonville CS,Come see the school perform.  Local school playing instruments and choir- together - creating beautiful music.  All month long there will be schools from all over the State performing during lunch hours.,South end of the Concourse,FREE, 
3443,03/30/2017,1:15 PM,2:00 PM,2017 MIOSM Salmon River HS Band,Salmon River HS,Come see the school perform.  Local school playing instruments and choir- together - creating beautiful music.  All month long there will be schools from all over the State performing during lunch hours.,South end of the Concourse,FREE, 
3447,03/29/2017,11:00 AM,3:00 PM,2017 Dr. Martin Luther King  Jr. Career Fair,Career Fair MLK 2017,The New York State Department of Labor and the Office of General Services are proud to sponsor this event in collaboration with the City of Albany  the Times Union  Albany Broadcasting  and the Capital District Transportation Authority.,Convention Center at the Empire State Plaza,FREE, 
3440,03/29/2017,11:30 AM,12:30 PM,2017 MIOSM South Lewis HS Concert Band,South Lewis HS,Come see the school perform.  Local school playing instruments and choir- together - creating beautiful music.  All month long there will be schools from all over the State performing during lunch hours.,South end of the Concourse,FREE, 
3333,03/29/2017,10:00 AM,2:00 PM,2016-17 Winter Farmer's Market,Winter Farmer's Market,Come to the Empire State Plaza Farmer's Market.  A NYS grower/producer only market.  We put the Fresh in freshest  so come and treat yourself to great fruits  vegetables  meats  beverages  plants  bread and so much more.  High quality  low prices - makes this the perfect farmer to consumer place to shop!,Inside on the Concourse at the Empire State Plaza,Free, 
3438,03/28/2017,11:30 AM,12:30 PM,2017 MIOSM Central Valley Academy Choir/Jarvis MS Vocal Thunder,Central Valley Academy,Come see the school perform.  Local school playing instruments and choir- together - creating beautiful music.  All month long there will be schools from all over the State performing during lunch hours.,South end of the Concourse,FREE, 
3439,03/28/2017,12:30 PM,1:30 PM,2017 MIOSM Mexico HS Jazz,Mexico HS,Come see the school perform.  Local school playing instruments and choir- together - creating beautiful music.  All month long there will be schools from all over the State performing during lunch hours.,South end of the Concourse,FREE, 
3437,03/27/2017,1:15 PM,2:00 PM,2017 MIOSM Fort Plain HS Jazz Band,Fort Plain HS,Come see the school perform.  Local school playing instruments and choir- together - creating beautiful music.  All month long there will be schools from all over the State performing during lunch hours.,South end of the Concourse,FREE, 
3435,03/24/2017,11:30 AM,12:30 PM,2017 MIOSM Cooperstown HS Harmonia/Jazz Band, Cooperstown HS,Come see the school perform.  Local school playing instruments and choir- together - creating beautiful music.  All month long there will be schools from all over the State performing during lunch hours.,South end of the Concourse,FREE, 
3436,03/24/2017,12:30 PM,1:30 PM,2017 MIOSM Meyers Middle School Stage Band/Jazz Band/Choruses Albany CSD,Albany CSD,Come see the school perform.  Local school playing instruments and choir- together - creating beautiful music.  All month long there will be schools from all over the State performing during lunch hours.,South end of the Concourse,FREE, 
3431,03/23/2017,11:30 AM,12:30 PM,2017 MIOSM Queensbury HS String Orchestra/Brass Ensemble/Madrigal Singers, Queensbury HS,Come see the school perform.  Local school playing instruments and choir- together - creating beautiful music.  All month long there will be schools from all over the State performing during lunch hours.,South end of the Concourse,FREE, 
3434,03/23/2017,12:30 PM,1:15 PM,2017 MIOSM North Salem MS/HS Concert Band,North Salem MS/HS,Come see the school perform.  Local school playing instruments and choir- together - creating beautiful music.  All month long there will be schools from all over the State performing during lunch hours.,South end of the Concourse,FREE, 
3428,03/22/2017,11:30 AM,12:30 PM,2017 MIOSM Duanesburg Elementary School 4th/5th Grade Chorus/5th Grad Band,Duanesburg MS,Come see the school perform.  Local school playing instruments and choir- together - creating beautiful music.  All month long there will be schools from all over the State performing during lunch hours.,South end of the Concourse,FREE, 
3429,03/22/2017,12:30 PM,1:15,2017 MIOSM Fox Lane MS Symphonic Winds/Vocal/Sinfonetta Orch. Bedford UFSD,Bedford UFSD,Come see the school perform.  Local school playing instruments and choir- together - creating beautiful music.  All month long there will be schools from all over the State performing during lunch hours.,South end of the Concourse,FREE, 
3430,03/22/2017,1:15 PM,2:00 PM,2017 MIOSM Charles Dewey MS Junior Chorus - CSD 15 NYC,Charles Dewey MS,Come see the school perform.  Local school playing instruments and choir- together - creating beautiful music.  All month long there will be schools from all over the State performing during lunch hours.,South end of the Concourse,FREE, 
3394,03/01/2017,12:30 pm,1:30 pm,2017 MIOSM Kingston HS Choir,Kingston HS Choir,Come see the school perform.  Local school playing instruments and choir- together - creating beautiful music.  All month long there will be schools from all over the State performing during lunch hours.,South end of the Concourse,FREE, 
3333,03/22/2017,10:00 AM,2:00 PM,2016-17 Winter Farmer's Market,Winter Farmer's Market,Come to the Empire State Plaza Farmer's Market.  A NYS grower/producer only market.  We put the Fresh in freshest  so come and treat yourself to great fruits  vegetables  meats  beverages  plants  bread and so much more.  High quality  low prices - makes this the perfect farmer to consumer place to shop!,Inside on the Concourse at the Empire State Plaza,Free, 
3425,03/21/2017,11:30 AM,12:30 PM,2017 MIOSM Elmont UFSD,Elmont UFSD,Come see these schools perform together.  Local school playing instruments and choir- together - creating beautiful music.  All month long there will be schools from all over the State performing during lunch hours.  Covert Ave. School String Orchestra  Gotham Ave. School Jazz Band  Clara H. Carlsen Elementary School Wind Ensemble.,South end of the Concourse,FREE, 
3426,03/21/2017,12:30 PM,1:15 PM,2017 MIOSM Guilderland HS Chamber Choir,Guilderland HS,Come see the school perform.  Local school playing instruments and choir- together - creating beautiful music.  All month long there will be schools from all over the State performing during lunch hours.,South end of the Concourse,FREE, 
3427,03/21/2017,1:15 PM,2:00 PM,2017 MIOSM Beaver River CS Choraleers/Jazz Ensemble,Beaver River CS,Come see the school perform.  Local school playing instruments and choir- together - creating beautiful music.  All month long there will be schools from all over the State performing during lunch hours.,South end of the Concourse,FREE, 
3423,03/20/2017,12:30 PM,1:15 PM,2017 MIOSM Murrow HS Chorus,Murrow HS Chorus,Come see the school perform.  Local school playing instruments and choir- together - creating beautiful music.  All month long there will be schools from all over the State performing during lunch hours.,South end of the Concourse,FREE, 
3424,03/20/2017,1:15 PM,2:00 PM,2017 MIOSM E.R. Murrow HS Band, E.R. Murrow HS Band,Come see the school perform.  Local school playing instruments and choir- together - creating beautiful music.  All month long there will be schools from all over the State performing during lunch hours.,South end of the Concourse,Free, 
3406,03/20/2017,11:30 am,12:30 pm,2017 MIOSM Burnt Hills - Ballston Lake Symphonic Strings,2017 MIOSM Burnt Hills,Come see the school perform.  Local school playing instruments and choir- together - creating beautiful music.  All month long there will be schools from all over the State performing during lunch hours.,South end of the Concourse,FREE, 
3421,03/17/2017,11:30 AM,12:00 PM,2017 MIOSM Carthage HS Choir/Jazz Ensemble,Carthage HS Choir Plus,Come see the school perform.  Local school playing instruments and choir- together - creating beautiful music.  All month long there will be schools from all over the State performing during lunch hours.,South end of the Concourse,FREE, 
3422,03/17/2017,12:00 PM,1:00 PM,2017 MIOSM Syracuse Academy Choir,Syracuse Academy Choir,Come see the school perform.  Local school playing instruments and choir- together - creating beautiful music.  All month long there will be schools from all over the State performing during lunch hours.,South end of the Concourse,FREE, 
3418,03/16/2017,11:30 AM,12:30 PM,2017 MIOSM -  Farnsworth MS Band/Vocal/Jazz Guilderland CSD,2017 MIOSM Guilderland,Come see the school perform.  Local school playing instruments and choir- together - creating beautiful music.  All month long there will be schools from all over the State performing during lunch hours.,South end of the Concourse,Free, 
3419,03/16/2017,12:30 PM,1:15 PM,2017 MIOSM Fort Edward HS Band,Fort Edward HS Band,Come see the school perform.  Local school playing instruments and choir- together - creating beautiful music.  All month long there will be schools from all over the State performing during lunch hours.,South end of the Concourse,Free, 
3420,03/16/2017,1:15 PM,2:00 PM,2017 MIOSM Afton MS/HS Chorus,Afton MS/HS Chorus,Come see the school perform.  Local school playing instruments and choir- together - creating beautiful music.  All month long there will be schools from all over the State performing during lunch hours.,South end of the Concourse,FREE, 
3333,03/15/2017,10:00 AM,2:00 PM,2016-17 Winter Farmer's Market,Winter Farmer's Market,Come to the Empire State Plaza Farmer's Market.  A NYS grower/producer only market.  We put the Fresh in freshest  so come and treat yourself to great fruits  vegetables  meats  beverages  plants  bread and so much more.  High quality  low prices - makes this the perfect farmer to consumer place to shop!,Inside on the Concourse at the Empire State Plaza,Free, 
3412,03/14/2017,11:30 am,12:30 PM,2017 MIOSM Horace Greeley HS String Orchestra/Band - Chappaqua CSD,2017 MIOSM Chappaqua CSD,Come see the school perform.  Local school playing instruments and choir- together - creating beautiful music.  All month long there will be schools from all over the State performing during lunch hours.,South end of the Concourse,FREE, 
3413,03/14/2017,12:30 PM,1:30 PM,2017 MIOSM Moravia HS Band,2017 MIOSM Moravia HS,Come see the school perform.  Local school playing instruments and choir- together - creating beautiful music.  All month long there will be schools from all over the State performing during lunch hours.,South end of the Concourse,FREE, 
3404,03/13/2017,11:30 pm,12:30 pm,2017 MIOSM Tamarac Secondary School Choir/JazzBand/Steel Drums,2017 MIOSM Tamarac,Come see the school perform.  Local school playing instruments and choir- together - creating beautiful music.  All month long there will be schools from all over the State performing during lunch hours.,South end of the Concourse,Free, 
3174,12/18/2015,12:00 PM,1:00 PM,Hoosick Falls Central School Jazz Band,Hoosick Falls CS Jazz Ban,Come see the Hoosick Falls Central School Jazz Band Perform!,South- End Concourse,FREE, 
3405,03/13/2017,12:30 pm,1:15 pm,2017 MIOSM Ann M. Korner MS Guitar Ensemble/Glee Club - Ossining UFSD,2017 MIOSM Ossining UFSD,Come see the school perform.  Local school playing instruments and choir- together - creating beautiful music.  All month long there will be schools from all over the State performing during lunch hours.,South end of the Concourse,FREE, 
3407,03/13/2017,1:15 pm,2:00 pm,2017 MIOSM,2017 MIOSM,Come see the school perform.  Local school playing instruments and choir- together - creating beautiful music.  All month long there will be schools from all over the State performing during lunch hours.,South end of the Concourse,FREE, 
3402,03/10/2017,11:30 am,1:00 pm,2017 MIOSM Shaker HS Vocal/Symphony Orchestra/Wind Ensemble N. Colony,2017 MIOSM N. Colony,Come see the school perform.  Local school playing instruments and choir- together - creating beautiful music.  All month long there will be schools from all over the State performing during lunch hours.,South end of the Concourse,FREE, 
3403,03/10/2017,1:00 pm,2:00 pm,2017 MIOSM Baldwin MS Choir/Orchestra,2017 MIOSM Baldwin MS,Come see the school perform.  Local school playing instruments and choir- together - creating beautiful music.  All month long there will be schools from all over the State performing during lunch hours.,South end of the Concourse,FREE, 
3400,03/09/2017,11:30 am,12:30 pm,2017 MIOSM Acadia/Koda MS Choir Shenendehowa CSD,2017 MIOSM Shenendehowa,Come see the school perform.  Local school playing instruments and choir- together - creating beautiful music.  All month long there will be schools from all over the State performing during lunch hours.,South end of the Concourse,FREE, 
3401,03/09/2017,12:30 pm,1:30 pm,2017 MIOSM Taconic Hills HS Select Choir,2017 MIOSM Taconic Hills,Come see the school perform.  Local school playing instruments and choir- together - creating beautiful music.  All month long there will be schools from all over the State performing during lunch hours.,South end of the Concourse,FREE, 
3410,03/08/2017,10:00 AM,2:00 PM,St. Patrick's Day Celebration 2017,St. Patrick's Celebration,Come celebrate and enjoy some Irish food and drink  along with entertainment by Kilashanra.  Many Irish themed crafts and MORE.,South End of the Concours,Free, 
3333,03/08/2017,10:00 AM,2:00 PM,2016-17 Winter Farmer's Market,Winter Farmer's Market,Come to the Empire State Plaza Farmer's Market.  A NYS grower/producer only market.  We put the Fresh in freshest  so come and treat yourself to great fruits  vegetables  meats  beverages  plants  bread and so much more.  High quality  low prices - makes this the perfect farmer to consumer place to shop!,Inside on the Concourse at the Empire State Plaza,Free, 
3399,03/06/2017,11:30 am,1:30 pm,2017 MIOSM All-State Vocal Jazz / Instrumental Jazz Performances,2017 MIOSM All-State Jazz,Come see the school perform.  Local school playing instruments and choir- together - creating beautiful music.  All month long there will be schools from all over the State performing during lunch hours.,South end of the Concourse,FREE, 
3386,03/04/2017,10:00 AM,5:00 PM,Kidz Expo 2017,Kidz Expo 2017,A jam-packed day of free entertainment and activities designed with your kids in mind!  Plus  the latest information parents need all in one convenient location - college savings  summer camps  health care  sports clubs  dance studios  and photographers  just to name a few.   2017 attractions include:Storybook Fun with Curious George and meet and greet with Peppa Pig and her brother  George.Garrison Excelsior 501st Legion of Imperial Stormtroopers (Star Wars Costuming Group) Performances by Dance Dimensions Toddler Zone Roaming Railroad presented by NYSUT Reptile Adventures More than 100 vendors Bounce rides  music  mini-golf  face painting and more!,Convention Center at the Empire State Plaza and the entire Concourse,FREE, 
3397,03/03/2017,11:30 am,12:30 pm,2017 MIOSM Iroquois/Van Antwerp Orchestra,2017 MIOSM Niskayuna,Come see the school perform.  Local school playing instruments and choir- together - creating beautiful music.  All month long there will be schools from all over the State performing during lunch hours.,South end of the Concourse,FREE, 
3398,03/03/2017, , ,2017 MIOSM Queensbury MS Wind Ensemble,2017 MIOSM Queensbury,Come see the school perform.  Local school playing instruments and choir- together - creating beautiful music.  All month long there will be schools from all over the State performing during lunch hours.,South end of the Concourse,FREE, 
3395,03/02/2017,11:30 am,12:30 pm,2017 MIOSM Gowana  Koda Acadia Shenendehowa MS Choir CSD,Shenendehowa MS Choir CSD,Come see the school perform.  Local school playing instruments and choir- together - creating beautiful music.  All month long there will be schools from all over the State performing during lunch hours.,South end of the Concourse,FREE, 
3396,03/02/2017,12:30 pm,1:30 pm,2017 MIOSM Lake Placid Middle/High School Chorus/Band,2017 MIOSM Lake Placid CS,Come see the school perform.  Local school playing instruments and choir- together - creating beautiful music.  All month long there will be schools from all over the State performing during lunch hours.,South end of the Concourse,FREE, 
3411,03/02/2017,11:00 AM,8:00 PM,Ice Rink Closed,Ice Rink Closed,The Empire State Plaza Ice rink will be closed for maintenance,Ice Rink Outside on the Plaza,Free, 
3411,03/01/2017,11:00 AM,8:00 PM,Ice Rink Closed,Ice Rink Closed,The Empire State Plaza Ice rink will be closed for maintenance,Ice Rink Outside on the Plaza,Free, 
3393,03/01/2017,11:30am,12:30 pm,2017 MIOSM Kingston HS String Orchestra,Kingston HS,Come see the school perform.  Local school playing instruments and choir- together - creating beautiful music.  All month long there will be schools from all over the State performing during lunch hours.,Southend of the Concourse,FREE, 
3333,03/01/2017,10:00 AM,2:00 PM,2016-17 Winter Farmer's Market,Winter Farmer's Market,Come to the Empire State Plaza Farmer's Market.  A NYS grower/producer only market.  We put the Fresh in freshest  so come and treat yourself to great fruits  vegetables  meats  beverages  plants  bread and so much more.  High quality  low prices - makes this the perfect farmer to consumer place to shop!,Inside on the Concourse at the Empire State Plaza,Free, 
3387,02/28/2017,11:00 AM,8:00 PM,Mardis Gras! On the Ice,Mardis Gras on the ICE,The spirit of new Orleans comes alive at the Empire Skate Plaza!  We're celebrating Fat Tuesday with Mardis Gras beads (free with each skate rental purchased).  Come skate to the sweet sounds of New Orleans Jazz!,Outside on the Plaza at the Ice Rink,Free- Rentals Adults $4.00 and children under 12 $3.00, 
3411,02/28/2017,11:00 AM,8:00 PM,Ice Rink Closed,Ice Rink Closed,The Empire State Plaza Ice rink will be closed for maintenance,Ice Rink Outside on the Plaza,Free, 
3408,02/27/2017,11:00 am,8:00 PM,Ice Rink Closed,Ice Rink Closed,The Empire State Plaza Ice rink will be closed for maintenance today Monday February 27  2017,Ice Rink Outside on the Plaza,FREE, 
3409,02/26/2017,11:00 AM,8:00 PM,Ice Rink Closed,Ice Rink Closed,The Empire State Plaza Ice rink will be closed for maintenance today Sunday  February 26  2017,Ice Rink Outside on the Plaza,FREE, 
3390,02/25/2017,8:30 AM,2:00 PM,Cystic Fibrosis 2017 Stair Climb,Cystic Fibrosis Stair,Join us for the 29th Annual CF Climb in the tallest building in Albany  the Corning Tower. Climb 42 floors  809 steps as either an individual  first responder  or as part of a four-person relay team. Whether climbing to improve your time or to simply cross the finish line  this event is a great way to spend the day with co-workers  friends or family while Adding Tomorrows for people with cystic fibrosis.  For more information please type this into your browser:http://fightcf.cff.org/site/TR/Climb/94_Northeastern_New_York_Albany?pg=entry&fr_id=5904,Empire State Plaza  Albany Corning Tower,Registration Required, 
3392,02/25/2017, , ,Ice Rink Closed,Ice Rink Closed,Due to the unseasonably warm temperatures  the empire state plaza ice rink is closed all day.Thank you,Outside on the Plaza,FREE, 
3392,02/24/2017,11:00 AM,8:00 PM,Ice Rink Closed,Ice Rink Closed,Due to the unseasonably warm temperatures  the empire state plaza ice rink is closed all day.Thank you,Outside on the Plaza,FREE, 
3392,02/23/2017,11:00 AM,8:00 PM,Ice Rink Closed,Ice Rink Closed,Due to the unseasonably warm temperatures  the empire state plaza ice rink is closed all day.Thank you,Outside on the Plaza,FREE, 
3391,02/22/2017,12:30 PM,8:00 PM,Ice Rink Closed,Ice Rink Closed,Due to the unseasonably warm temperatures  the empire state plaza ice rink is closing at 12:30 today Wednesday February 22.Thank you,Outside on the Plaza,FREE, 
3333,02/22/2017,10:00 AM,2:00 PM,2016-17 Winter Farmer's Market,Winter Farmer's Market,Come to the Empire State Plaza Farmer's Market.  A NYS grower/producer only market.  We put the Fresh in freshest  so come and treat yourself to great fruits  vegetables  meats  beverages  plants  bread and so much more.  High quality  low prices - makes this the perfect farmer to consumer place to shop!,Inside on the Concourse at the Empire State Plaza,Free, 
3339,02/22/2017,6:00 PM,8:00 PM,Black History 2-hour program,BHM 2 hour Program,Remembering the Great Migration.  More details to follow for this great program.,Empire State Plaza on the Concourse,FREE, 
3388,02/18/2017,9:00 AM,11:00 AM,Try Hockey for Free,Try Hockey for Free,This event is designed to provide kids  between the ages of 4 to 9  a completely free experience to try youth hockey. A limited amount of equipment is available to borrow. Our top coaches will be on the ice to assist your child in learning the basics. Your son or daughter does not need any previous skating or hockey experience.,Outside on the Ice Rink at the Empire State Plaza,Free, 
3333,02/15/2017,10:00 AM,2:00 PM,2016-17 Winter Farmer's Market,Winter Farmer's Market,Come to the Empire State Plaza Farmer's Market.  A NYS grower/producer only market.  We put the Fresh in freshest  so come and treat yourself to great fruits  vegetables  meats  beverages  plants  bread and so much more.  High quality  low prices - makes this the perfect farmer to consumer place to shop!,Inside on the Concourse at the Empire State Plaza,Free, 
3384,02/14/2017,11:00 AM,8:00 PM,Valentine's Day on the Ice,Valentine's Day Ice Rink,Love is in the air at the Empire State Plaa!  Enjoy a romantic skate on Valentine's Day with your sweetheart.,Empire State Plaza Ice Rink,Free, 
3383,02/10/2017,2:00 PM,4:00 PM,Special Guest Skater - Ryan Bradley,Ryan Bradley on the ICE,Come to see Ryan Bradley Skate on the Empire State Plaza Ice Rink and your skate rentals are Free on Free Rental Fridays compliments of Hannaford.,Empire State Plaza Ice Rink,FREE, 
3381,02/08/2017,10:00 AM,2:00 PM,Cupid's Concurse,Cupid's Concourse,Find the perfect gift for that special someone in your life! Stop by the Empire State Plaza Concourse for unique Valentine's Day gifts and pick up ingredients from the Farmers Market to cook up a romantic dinner for two.,North Concourse,FREE, 
3333,02/08/2017,10:00 AM,2:00 PM,2016-17 Winter Farmer's Market,Winter Farmer's Market,Come to the Empire State Plaza Farmer's Market.  A NYS grower/producer only market.  We put the Fresh in freshest  so come and treat yourself to great fruits  vegetables  meats  beverages  plants  bread and so much more.  High quality  low prices - makes this the perfect farmer to consumer place to shop!,Inside on the Concourse at the Empire State Plaza,Free, 
3338,02/08/2017,10:00,2:00 PM,Black History Month Cultural Expo and Vendor Fair,Black History Month Expo,A day event featuring performances  presentations  exhibits  historical reenactments  vendors  communtiy organizations  and ethnic food.  There will also be a 2 hour program regarding the Great Migration.  See February 22nd on this calendar for more details.,On the Concourse at the Empire State Plaza,FREE, 
3389,02/07/2017,4:00 PM,8:00 PM,Ice Rink Closed,Ice Rink Closed,Due to weather conditions  the Empire State Plaza Ice Rink will be closed for the remainder of today  Tuesday February 7  2017,Outside on the Plaza,FREE, 
3382,02/05/2017,11:00 AM,8:00 PM,Super Skate Sunday,Super Skate Sunday,Wear your favorite teams' jersey and skate to some winning tunes on the ice!  Learn some great game facts too!,Empire State Plaza Ice Rink,FREE, 
3376,02/04/2017,9:00 AM,11:00 AM,Learn to Skate Clinic Free Lesson,Learn to SkateFree Clinic, ,Outside on the Plaza Ice Rink,Free - Registration Required, 
3333,02/01/2017,10:00 AM,2:00 PM,2016-17 Winter Farmer's Market,Winter Farmer's Market,Come to the Empire State Plaza Farmer's Market.  A NYS grower/producer only market.  We put the Fresh in freshest  so come and treat yourself to great fruits  vegetables  meats  beverages  plants  bread and so much more.  High quality  low prices - makes this the perfect farmer to consumer place to shop!,Inside on the Concourse at the Empire State Plaza,Free, 
3333,01/25/2017,10:00 AM,2:00 PM,2016-17 Winter Farmer's Market,Winter Farmer's Market,Come to the Empire State Plaza Farmer's Market.  A NYS grower/producer only market.  We put the Fresh in freshest  so come and treat yourself to great fruits  vegetables  meats  beverages  plants  bread and so much more.  High quality  low prices - makes this the perfect farmer to consumer place to shop!,Inside on the Concourse at the Empire State Plaza,Free, 
3187,01/25/2017,8:00 AM,5:00 PM,Southern States Pet Expo,Pet Expo,The Southern States Pet Expo is a wholesale customer only event held by Southern States Cooperative. This one day event highlights our large selection of pet supplies and feeds that we offer for sale to our Independent Dealer Network including our Agway branded dealers.  The show features about 75 suppliers  showcasing thousands of pet products.  Southern States Cooperative is one of the nations largest farmer-owned cooperative based in Richmond  Virginia. Our distribution network serves independent dealers in over twenty-five states.,Empire State Plaza Convention Center,Pre-Registration / Invite Only, 
3380,01/22/2017,9:00 AM,3:00 AM,Albany Gun Show,Albany Gun Show,This Albany gun show is held at Empire State Plaza Convention Center and hosted by New York State Arms Collectors Association of New York. All federal  state and local firearm ordinances and laws must be obeyed.  Come check out the large collection of Arms for show and sale.  Questions call 518-408-1009,Empire State Plaza Convention Center,$7.00 admission  $5.00 Serniors and under 12 Free, 
3380,01/21/2017,9:00 AM,5:00 PM,Albany Gun Show,Albany Gun Show,This Albany gun show is held at Empire State Plaza Convention Center and hosted by New York State Arms Collectors Association of New York. All federal  state and local firearm ordinances and laws must be obeyed.  Come check out the large collection of Arms for show and sale.  Questions call 518-408-1009,Empire State Plaza Convention Center,$7.00 admission  $5.00 Serniors and under 12 Free, 
3378,01/18/2017,11:00 AM,8:00 PM,Ice Rink Closed,Ice Rink Closed,Due to the heavy rain last night and the warm temperatures predicted today  the ice rink will be closed today,Outside on the Plaza, , 
3333,01/18/2017,10:00 AM,2:00 PM,2016-17 Winter Farmer's Market,Winter Farmer's Market,Come to the Empire State Plaza Farmer's Market.  A NYS grower/producer only market.  We put the Fresh in freshest  so come and treat yourself to great fruits  vegetables  meats  beverages  plants  bread and so much more.  High quality  low prices - makes this the perfect farmer to consumer place to shop!,Inside on the Concourse at the Empire State Plaza,Free, 
